0,6,2.5
25,10,1.5
53,6,-7.5
78,10,-9
106,7.5,-8.5
132,10,-11
157,1,-16.5
184,-14.5,-20
211,-21,-21
240,-30,-21
270,-32.5,-20.5
300,-25.5,-20
326,0.5,-13
346,10,-7.5
375,8.5,-9
400,7.5,-12
427,4,-10
450,8,-8
480,4.5,-10
505,1,-10.5
